"county","state","2017","2018","2019","2020","2021","2022","2023","2024"
"Carteret","NC",68921,69438,69473,67724,68718,69380,70266,70266
"Carver","MN",102118,103533,105089,107284,108826,110034,110433,110433
"Cascade","MT",81633,81688,81366,84402,84498,84864,85616,85616
"Casey","KY",15818,15926,16159,15924,15951,15920,15969,15969
"Cass","IA",13144,12948,12836,13118,13065,13104,13131,13131
"Cass","IL",12492,12312,12147,12985,12798,12657,12625,12625
"Cass","IN",37828,37895,37689,37791,37579,37540,37701,37701
"Cass","MI",51481,51725,51787,51550,51501,51403,51420,51420
"Cass","MN",29324,29511,29779,30142,30638,31274,31388,31388
"Cass","MO",103477,104769,105780,108145,109751,110394,110720,110720
"Cass","ND",177745,180294,181923,184874,189293,192734,193888,193888
"Cass","NE",25935,26189,26248,26601,27071,27122,27267,27267
"Cass","TX",29966,30106,30026,28436,28557,28539,28990,28990
"Cassia","ID",23650,23791,24030,24760,25249,25655,25995,25995
"Castro","TX",7696,7588,7530,7336,7362,7298,7414,7414
"Caswell","NC",22616,22634,22604,22699,22701,22614,22903,22903
"Catahoula Parish","LA",9830,9606,9494,8841,8712,8566,8536,8536
"Catawba","NC",157852,158687,159551,160892,161821,163462,165548,165548
"Catoosa","GA",66495,67380,67580,68006,68420,68826,69560,69560
"Catron","NM",3553,3554,3527,3611,3726,3827,3829,3829
"Cattaraugus","NY",77176,76726,76117,76992,76650,76439,76028,76028
"Cavalier","ND",3793,3811,3762,3694,3664,3597,3619,3619
"Cayuga","NY",77457,77121,76576,76198,75791,74998,74595,74595
"Cecil","MD",102394,102644,102855,103793,104096,104942,105208,105208
"Cedar","IA",18490,18564,18627,18491,18444,18399,18437,18437
"Cedar","MO",14070,14136,14349,14210,14518,14601,14645,14645
"Cedar","NE",8515,8453,8402,8372,8325,8371,8416,8416
"Centre","PA",162316,162601,162385,157962,157990,158425,158299,158299
"Cerro Gordo","IA",42999,42642,42450,43023,42761,42409,42495,42495
"Chaffee","CO",19666,20041,20356,19477,19711,20223,20354,20354
"Chambers","AL",33707,33600,33254,34645,34446,34088,34318,34318
"Chambers","TX",41269,42227,43837,47025,48721,51288,52098,52098
"Champaign","IL",210425,209918,209689,205629,206708,206542,206012,206012
"Champaign","OH",38851,38785,38885,38734,38782,38709,38808,38808
"Chariton","MO",7457,7457,7426,7384,7361,7386,7408,7408
"Charles","MD",159450,161476,163257,166726,168870,170102,170533,170533
"Charles City","VA",7026,7000,6963,6744,6631,6605,6630,6630
"Charles Mix","SD",9404,9331,9292,9356,9186,9213,9310,9310
"Charleston","SC",402008,406222,411406,409716,414403,419279,426496,426496
"Charlevoix","MI",26212,26187,26143,26034,26215,26293,26302,26302
"Charlotte","FL",181522,184849,188910,188013,194934,202661,205995,205995
"Charlotte","VA",12077,11944,11880,11541,11522,11475,11518,11518
"Charlottesville city","VA",47463,47506,47266,46465,45730,45373,45541,45541
"Charlton","GA",12810,12919,13392,12532,12813,12781,12918,12918
"Chase","KS",2651,2600,2648,2574,2598,2548,2551,2551
"Chase","NE",3928,3937,3924,3887,3829,3772,3793,3793
"Chatham","GA",289309,289166,289430,295064,295656,301107,304318,304318
"Chatham","NC",71189,73127,74470,76670,78111,79864,80884,80884
"Chattahoochee","GA",10205,10600,10907,9481,9044,8819,8914,8914
"Chattooga","GA",24746,24782,24789,24922,24828,24936,25202,25202
"Chautauqua","KS",3315,3304,3250,3385,3391,3415,3419,3419
"Chautauqua","NY",128372,127472,126903,127578,126785,126027,125349,125349
"Chaves","NM",65080,64554,64615,65148,64644,63894,63926,63926
"Cheatham","TN",40366,40502,40667,41128,41547,41830,42276,42276
"Cheboygan","MI",25454,25504,25276,25584,25735,25940,25949,25949
"Chelan","WA",76298,76752,77200,79228,79775,79926,80205,80205
"Chemung","NY",84736,83935,83456,83945,82830,81426,80988,80988
"Chenango","NY",47805,47445,47207,47067,46637,46458,46208,46208
"Cherokee","AL",25805,26014,26196,24972,25026,25302,25473,25473
"Cherokee","GA",247763,253914,258773,268175,274839,281278,284277,284277
"Cherokee","IA",11307,11295,11235,11663,11532,11491,11515,11515
"Cherokee","KS",20129,20035,19939,19297,19208,19088,19111,19111
"Cherokee","NC",27954,28369,28612,28858,29195,29512,29889,29889
"Cherokee","OK",48891,48607,48657,47090,47631,48098,48506,48506
"Cherokee","SC",56913,57069,57300,56207,56025,56121,57087,57087
"Cherokee","TX",52116,52381,52646,50488,51163,51645,52460,52460
"Cherry","NE",5790,5763,5689,5454,5447,5464,5494,5494
"Chesapeake city","VA",240143,242359,244835,249803,251739,252488,253421,253421
"Cheshire","NH",75963,75901,76085,76541,76821,77350,77729,77729
"Chester","PA",518901,522086,524989,534783,540864,545823,545389,545389
"Chester","SC",32299,32304,32244,32278,32097,31931,32481,32481
"Chester","TN",17154,17245,17297,17377,17479,17609,17797,17797
"Chesterfield","SC",45979,45881,45650,43250,43337,43683,44435,44435
"Chesterfield","VA",343276,348281,352802,365776,371276,378408,379806,379806
"Cheyenne","CO",1853,1859,1831,1744,1716,1732,1744,1744
"Cheyenne","KS",2684,2645,2657,2615,2624,2583,2586,2586
"Cheyenne","NE",9644,9282,8910,9486,9502,9511,9562,9562
"Chickasaw","IA",12002,11952,11933,11990,11899,11716,11740,11740
"Chickasaw","MS",17144,17100,17103,17078,16973,16812,16810,16810
"Chicot","AR",10647,10442,10118,10157,10071,9873,9945,9945
"Childress","TX",7269,7315,7306,6662,6781,6809,6917,6917
"Chilton","AL",44120,44163,44428,45051,45259,45884,46193,46193
"Chippewa","MI",37679,37461,37349,36781,35867,36293,36305,36305
"Chippewa","MN",11944,11901,11800,12596,12390,12284,12329,12329
"Chippewa","WI",63747,64109,64658,66337,66628,66807,67016,67016
"Chisago","MN",55257,55972,56579,56713,57544,57988,58199,58199
"Chittenden","VT",163031,163571,163774,168386,169271,169301,169406,169406
"Choctaw","AL",12925,12833,12589,12619,12549,12439,12523,12523
"Choctaw","MS",8240,8265,8210,8208,8113,8037,8036,8036
"Choctaw","OK",14804,14698,14672,14201,14314,14358,14480,14480
"Chouteau","MT",5732,5740,5635,5895,5916,5898,5951,5951
"Chowan","NC",14029,14065,13943,13701,13791,13940,14118,14118
"Christian","IL",33007,32653,32304,33950,33721,33436,33351,33351
"Christian","KY",71024,70712,70461,72768,73221,73037,73262,73262
"Christian","MO",85392,87044,88595,89284,91541,93114,93389,93389
"Chugach Census Area","AK",NA,NA,NA,7077,6943,6874,6873,6873
"Churchill","NV",24021,24506,24909,25568,25671,25843,25977,25977
"Cibola","NM",26921,26766,26675,27102,27238,26950,26964,26964
"Cimarron","OK",2152,2165,2137,2290,2255,2252,2272,2272
"Citrus","FL",145415,147682,149657,154565,158113,162529,165203,165203
"Clackamas","OR",412442,415416,418187,422444,423763,423177,422501,422501
"Claiborne","MS",9026,9072,8988,9099,8898,8805,8804,8804
"Claiborne","TN",31661,31850,31959,32066,32146,32431,32777,32777
"Claiborne Parish","LA",15953,15895,15670,14103,13990,13744,13695,13695
"Clallam","WA",75637,76551,77331,77357,78442,77805,78076,78076
"Clare","MI",30565,30735,30950,30834,31128,31352,31362,31362
"Clarendon","SC",34012,33742,33745,30835,30950,30913,31446,31446
"Clarion","PA",38998,38672,38438,37193,37581,37346,37317,37317
"Clark","AR",22184,22313,22320,21387,21217,21250,21405,21405
"Clark","ID",879,851,845,791,793,806,817,817
"Clark","IL",15812,15600,15441,15423,15354,15229,15190,15190
"Clark","IN",116545,117280,118302,121353,122847,124237,124768,124768
"Clark","KS",1995,1994,1994,1974,1958,1933,1936,1936
"Clark","KY",35899,36180,36263,37037,36925,37061,37175,37175
"Clark","MO",6720,6833,6797,6661,6738,6723,6743,6743
"Clark","NV",2181635,2226115,2266715,2274734,2295194,2322985,2334977,2334977
"Clark","OH",134549,134528,134083,135879,135747,134831,135174,135174
"Clark","SD",3679,3726,3736,3855,3867,3912,3953,3953
"Clark","WA",474381,481427,488241,505301,512588,516779,518578,518578
"Clark","WI",34571,34705,34774,34667,34722,34691,34800,34800
"Clarke","AL",24063,23918,23622,22981,22715,22515,22667,22667
"Clarke","GA",126815,127268,128331,128550,129185,129875,131260,131260
"Clarke","IA",9396,9502,9395,9726,9756,9692,9712,9712
"Clarke","MS",15805,15585,15541,15546,15457,15271,15270,15270
"Clarke","VA",14454,14511,14619,14813,14916,15266,15323,15323
"Clatsop","OR",39101,39711,40224,41160,41916,41695,41629,41629
"Clay","AL",13350,13294,13235,14211,14190,14198,14294,14294
"Clay","AR",14865,14763,14551,14528,14370,14265,14369,14369
"Clay","FL",212228,215908,219252,218933,222533,226589,230317,230317
"Clay","GA",2955,2884,2834,2830,2859,2845,2876,2876
"Clay","IA",16141,16106,16016,16335,16428,16475,16509,16509
"Clay","IL",13270,13266,13184,13271,13154,13047,13014,13014
"Clay","IN",26167,26175,26225,26419,26370,26379,26492,26492
"Clay","KS",8006,8003,8002,8122,8091,8043,8053,8053
"Clay","KY",20251,20088,19901,20310,20184,19913,19975,19975
"Clay","MN",63766,64017,64222,65332,65665,65929,66169,66169
"Clay","MO",242527,246360,249948,254112,255860,257033,257791,257791
"Clay","MS",19621,19404,19316,18621,18500,18380,18378,18378
"Clay","NC",11004,11124,11231,11142,11350,11614,11763,11763
"Clay","NE",6186,6202,6203,6105,6047,6049,6082,6082
"Clay","SD",14032,13983,14070,14996,15155,15280,15440,15440
"Clay","TN",7663,7677,7615,7588,7572,7620,7702,7702
"Clay","TX",10484,10448,10471,10250,10315,10486,10652,10652
"Clay","WV",8693,8639,8508,8007,7895,7814,7792,7792
"Clayton","GA",284184,289197,292256,297623,297318,296564,299726,299726
"Clayton","IA",17648,17540,17549,17030,17047,17027,17062,17062
"Clear Creek","CO",9574,9604,9700,9393,9445,9355,9416,9416
"Clearfield","PA",79799,79572,79255,80438,78333,77904,77842,77842
"Clearwater","ID",8646,8758,8756,8752,8917,9015,9135,9135
"Clearwater","MN",8845,8815,8818,8571,8574,8649,8681,8681
"Cleburne","AL",14899,15010,14910,15063,15148,15346,15450,15450
"Cleburne","AR",25059,24994,24919,24696,25044,25284,25468,25468
"Clermont","OH",204260,205526,206428,208738,209867,210805,211341,211341
"Cleveland","AR",8162,7995,7956,7550,7490,7467,7522,7522
"Cleveland","NC",97134,97519,97947,99799,100318,100670,101955,101955
"Cleveland","OK",279542,281166,284014,296207,298099,299587,302123,302123
"Clinch","GA",6643,6603,6618,6725,6698,6662,6734,6734
"Clinton","IA",46874,46437,46429,46432,46526,46344,46438,46438
"Clinton","IL",37645,37697,37562,36913,36886,36909,36815,36815
"Clinton","IN",32195,32192,32399,33174,33025,32843,32984,32984
"Clinton","KY",10212,10152,10218,9232,9288,9123,9151,9151
"Clinton","MI",78506,79219,79595,79157,79499,79748,79774,79774
"Clinton","MO",20551,20435,20387,21210,21258,21328,21391,21391
"Clinton","NY",80531,80679,80485,79761,79996,78753,78330,78330
"Clinton","OH",42004,42085,41968,42023,42100,41964,42071,42071
"Clinton","PA",38830,38696,38632,37380,38035,37931,37901,37901
"Cloud","KS",8912,8734,8786,9008,8954,8946,8957,8957
"Coahoma","MS",23214,22605,22124,21230,20732,20197,20195,20195
"Coal","OK",5630,5520,5495,5284,5319,5313,5358,5358
"Cobb","GA",752649,756070,760141,766374,766691,771952,780183,780183
"Cochise","AZ",124864,126411,125922,125522,125763,125663,126895,126895
"Cochran","TX",2853,2831,2853,2557,2491,2526,2566,2566
"Cocke","TN",35528,35858,36004,36039,36370,36879,37273,37273
"Coconino","AZ",141001,142523,143476,145180,142780,144060,145473,145473
"Codington","SD",28125,28033,28009,28350,28467,28721,29021,29021
"Coffee","AL",51853,51950,52342,53547,54171,54805,55175,55175
"Coffee","GA",42880,43055,43273,43052,42997,43172,43633,43633
"Coffee","TN",55016,55877,56520,58134,58933,59728,60365,60365
"Coffey","KS",8228,8232,8179,8356,8343,8280,8290,8290
"Coke","TX",3285,3355,3387,3295,3313,3333,3386,3386
"Colbert","AL",54695,55004,55241,57299,57619,58033,58424,58424
"Cole","MO",76632,76720,76745,76614,76631,76969,77196,77196
"Coleman","TX",8399,8367,8175,7686,7736,7850,7974,7974
"Coles","IL",51353,50829,50621,46761,46809,46334,46215,46215
"Colfax","NE",10700,10734,10709,10557,10474,10444,10500,10500
"Colfax","NM",12151,12071,11941,12353,12356,12246,12252,12252
"Colleton","SC",37555,37676,37677,38536,38427,38599,39264,39264
"Collier","FL",372678,378201,384902,377293,387241,397994,404541,404541
"Collin","TX",971864,1004307,1034730,1075654,1114450,1158696,1176975,1176975
"Collingsworth","TX",2964,2942,2920,2638,2603,2568,2609,2609
"Colonial Heights city","VA",17424,17504,17370,18187,18218,18294,18362,18362
"Colorado","TX",21291,21305,21493,20558,20592,20754,21082,21082
"Colquitt","GA",45480,45455,45600,45900,45757,45762,46250,46250
"Columbia","AR",23695,23586,23457,22742,22510,22216,22378,22378
"Columbia","FL",69999,70668,71686,69737,69902,71908,73091,73091
"Columbia","GA",151529,154077,156714,156849,159636,162419,164151,164151
"Columbia","NY",60338,59785,59461,61403,62039,61286,60957,60957
"Columbia","OR",51724,52245,52354,52730,53229,53588,53503,53503
"Columbia","PA",65581,65215,64964,64682,64980,64926,64875,64875
"Columbia","WA",4002,4039,3985,3949,4015,4026,4041,4041
"Columbia","WI",57244,57333,57532,58516,58404,58193,58375,58375
"Columbiana","OH",103062,102473,101883,101634,101250,100511,100767,100767
"Columbus","NC",56047,55819,55508,50487,49953,49885,50522,50522
"Colusa","CA",21579,21418,21547,21858,21913,21914,21878,21878
"Comal","TX",140721,148141,156209,163640,174891,184642,187555,187555
"Comanche","KS",1759,1736,1700,1680,1660,1681,1683,1683
"Comanche","OK",121786,120528,120749,121125,122438,123046,124088,124088
"Comanche","TX",13533,13540,13635,13628,13804,13878,14097,14097
"Concho","TX",2707,2683,2726,3303,3336,3340,3393,3393
"Concordia Parish","LA",19846,19586,19259,18568,18373,18116,18051,18051
"Conecuh","AL",12431,12292,12067,11553,11320,11206,11282,11282
"Conejos","CO",8139,8181,8205,7458,7578,7579,7628,7628
"Contra Costa","CA",1145535,1150519,1153526,1165986,1163298,1156966,1155065,1155065
"Converse","WY",13733,13658,13822,13741,13678,13786,13850,13850
"Conway","AR",20810,20825,20846,20729,20911,21046,21199,21199
"Cook","GA",17213,17171,17270,17234,17266,17404,17590,17590
"Cook","IL",5200821,5171960,5150233,5261249,5177606,5109292,5096159,5096159
"Cook","MN",5411,5425,5463,5595,5623,5708,5729,5729
"Cooke","TX",39932,40504,41257,41744,42408,43050,43730,43730
"Cooper","MO",17647,17626,17709,16648,16672,16772,16822,16822
"Coos","NH",31396,31486,31563,31227,31411,31504,31659,31659
"Coos","OR",63708,64272,64487,64971,65119,64990,64887,64887
"Coosa","AL",10724,10643,10663,10341,10366,10166,10235,10235
"Copiah","MS",28528,28400,28065,28268,27927,27719,27716,27716
"Copper River Census Area","AK",NA,NA,NA,2616,2611,2589,2589,2589
"Corson","SD",4195,4178,4086,3891,3843,3826,3866,3866
"Cortland","NY",47815,47722,47581,46750,46489,46126,45878,45878
"Coryell","TX",74760,74741,75951,83146,84406,85057,86399,86399
"Coshocton","OH",36536,36596,36600,36578,36614,36571,36664,36664
"Costilla","CO",3756,3812,3887,3501,3595,3603,3627,3627
"Cottle","TX",1375,1382,1398,1364,1357,1307,1328,1328
"Cotton","OK",5863,5820,5666,5535,5467,5477,5524,5524
"Cottonwood","MN",11249,11259,11196,11509,11578,11356,11398,11398
"Covington","AL",37062,36953,37049,37507,37542,37602,37856,37856
"Covington","MS",19014,18825,18636,18298,18250,18098,18096,18096
"Covington city","VA",5576,5578,5538,5742,5731,5679,5700,5700
"Coweta","GA",143153,145998,148509,146725,149925,152882,154512,154512
"Cowley","KS",35297,35149,34908,34524,34652,34453,34493,34493
"Cowlitz","WA",106805,108752,110593,111019,111648,111956,112346,112346
"Craig","OK",14332,14300,14142,14136,14176,14123,14243,14243
"Craig","VA",5062,5102,5131,4878,4876,4847,4865,4865
"Craighead","AR",107188,108816,110332,111603,111788,113017,113837,113837
"Crane","TX",4685,4755,4797,4673,4639,4546,4618,4618
"Craven","NC",102492,102338,102139,100646,100277,100874,102162,102162
"Crawford","AR",62894,63379,63257,60147,60423,61075,61519,61519
"Crawford","GA",12263,12334,12404,12103,12139,12140,12270,12270
"Crawford","IA",17076,17089,16820,16490,16243,16123,16156,16156
"Crawford","IL",18975,18830,18667,18648,18691,18536,18489,18489
"Crawford","IN",10535,10594,10577,10525,10491,10536,10581,10581
"Crawford","KS",38925,38911,38818,38951,39033,39078,39124,39124
"Crawford","MI",13906,13905,14029,12993,13292,13491,13496,13496
"Crawford","MO",24107,23968,23920,23037,22818,22659,22726,22726
"Crawford","OH",41710,41484,41494,42003,41797,41522,41628,41628
"Crawford","PA",85772,85110,84629,83797,83202,82670,82605,82605
"Crawford","WI",16199,16265,16131,16084,16082,16007,16058,16058
"Creek","OK",71890,71730,71522,71837,72186,72699,73315,73315
"Crenshaw","AL",13858,13825,13772,13165,13056,13025,13113,13113
"Crisp","GA",22710,22617,22372,20050,20024,19708,19919,19919
"Crittenden","AR",48716,48363,47955,48086,47475,47061,47403,47403
"Crittenden","KY",8999,8896,8806,9002,8939,8981,9009,9009
"Crockett","TN",14436,14296,14230,13903,13993,13888,14037,14037
"Crockett","TX",3535,3439,3464,3094,3015,2943,2990,2990
"Crook","OR",23065,23825,24404,24923,25753,26375,26333,26333
"Crook","WY",7397,7445,7584,7186,7319,7448,7483,7483
"Crosby","TX",5849,5764,5737,5093,5085,4998,5077,5077
"Cross","AR",16792,16630,16419,16796,16693,16601,16722,16722
"Crow Wing","MN",64278,64794,65055,66277,67345,67948,68195,68195
"Crowley","CO",5840,5957,6061,5694,5731,5614,5651,5651
"Culberson","TX",2230,2194,2171,2185,2182,2155,2189,2189
"Cullman","AL",82867,83418,83768,88131,89618,90665,91276,91276
"Culpeper","VA",51235,51795,52605,52766,53785,54381,54582,54582
"Cumberland","IL",10880,10804,10766,10429,10343,10324,10298,10298
"Cumberland","KY",6710,6693,6614,5860,5892,5946,5965,5965
"Cumberland","ME",292181,293673,295003,303570,306149,307451,309756,309756
"Cumberland","NC",330994,333430,335509,334391,337249,336699,340996,340996
"Cumberland","NJ",151423,150635,149527,153692,152089,151356,151833,151833
"Cumberland","PA",249024,251131,253370,260223,265593,268579,268366,268366
"Cumberland","TN",59023,59738,60520,61377,62431,63522,64199,64199
"Cumberland","VA",9828,9857,9932,9666,9696,9746,9783,9783
"Cuming","NE",8947,8935,8846,9008,8972,8929,8977,8977
"Currituck","NC",26290,27016,27763,28401,29714,31015,31411,31411
"Curry","NM",49794,49338,48954,48370,47960,47532,47556,47556
"Curry","OR",22630,22795,22925,23516,23720,23598,23561,23561
"Custer","CO",4857,4934,5068,4719,5064,5335,5370,5370
"Custer","ID",4135,4250,4315,4265,4434,4506,4566,4566
"Custer","MT",11726,11592,11402,11863,11971,12032,12139,12139
"Custer","NE",10869,10830,10777,10493,10476,10476,10532,10532
"Custer","OK",28974,28995,29003,28444,28132,27886,28123,28123
"Custer","SD",8763,8812,8972,8334,8635,9006,9100,9100
"Cuyahoga","OH",1247581,1241718,1235072,1262523,1247808,1236041,1239183,1239183
"Dade","GA",16254,16227,16116,16235,16230,16081,16253,16253
"Dade","MO",7586,7564,7561,7587,7600,7660,7683,7683
"Daggett","UT",1013,974,950,952,977,1014,1026,1026
"Dakota","MN",421518,425040,429021,440393,442773,443341,444949,444949
"Dakota","NE",20010,20002,20026,21552,21256,21042,21154,21154
"Dale","AL",49342,49143,49172,49253,49412,49544,49878,49878
"Dallam","TX",7272,7303,7287,7126,7188,7241,7356,7356
"Dallas","AL",39238,38294,37196,38174,37565,36767,37015,37015
