"county","state","2017","2018","2019","2020","2021","2022","2023","2024"
"Calhoun","MI",134180,134049,134159,134184,133878,133289,133331,133331
"Calhoun","MS",14508,14432,14361,13222,12936,12781,12780,12780
"Calhoun","SC",14696,14563,14553,14113,14134,14179,14424,14424
"Calhoun","TX",21712,21504,21290,20063,19798,19706,20017,20017
"Calhoun","WV",7310,7217,7109,6199,6165,6068,6051,6051
"Callahan","TX",13968,13990,13943,13744,14078,14210,14435,14435
"Callaway","MO",44982,44954,44743,44337,44667,44762,44894,44894
"Calloway","KY",38832,38964,39001,37145,37489,37685,37801,37801
"Calumet","WI",49995,50132,50089,52462,52587,52718,52883,52883
"Calvert","MD",91435,92065,92525,92905,94226,94573,94813,94813
"Camas","ID",1096,1121,1106,1083,1129,1153,1169,1169
"Cambria","PA",132960,131449,130192,133199,132281,131441,131337,131337
"Camden","GA",53005,53651,54666,54925,55754,57013,57621,57621
"Camden","MO",45473,45913,46305,42802,43527,43768,43897,43897
"Camden","NC",10532,10676,10867,10407,10816,11088,11230,11230
"Camden","NJ",506224,506353,506471,523074,524124,524907,526559,526559
"Cameron","PA",4619,4501,4447,4531,4461,4418,4415,4415
"Cameron","TX",422227,422139,423163,421445,423124,425208,431916,431916
"Cameron Parish","LA",6944,7013,6973,5623,5099,4902,4885,4885
"Camp","TX",12845,12983,13094,12427,12594,12716,12917,12917
"Campbell","KY",92878,93464,93584,93129,92856,93300,93587,93587
"Campbell","SD",1372,1366,1376,1377,1375,1349,1364,1364
"Campbell","TN",39791,39795,39842,39301,39409,39584,40006,40006
"Campbell","VA",55326,55137,54885,55625,55375,55141,55345,55345
"Campbell","WY",46402,46299,46341,47139,46533,47058,47275,47275
"Canadian","OK",140001,144426,148306,155425,161981,169149,170581,170581
"Candler","GA",10706,10827,10803,11022,11000,11000,11118,11118
"Cannon","TN",14157,14440,14678,14568,14535,14788,14946,14946
"Canyon","ID",216858,223236,229849,232998,243774,251065,254392,254392
"Cape Girardeau","MO",78261,78638,78871,81811,82147,82899,83144,83144
"Cape May","NJ",93129,92446,92039,95040,95768,95634,95935,95935
"Capitol Planning Region","CT",NA,NA,NA,973159,980757,981447,979004,979004
"Carbon","MT",10680,10691,10725,10510,10862,11179,11279,11279
"Carbon","PA",63828,64175,64182,64744,65460,65460,65408,65408
"Carbon","UT",20131,20233,20463,20488,20361,20571,20796,20796
"Carbon","WY",15252,14879,14800,14504,14679,14542,14609,14609
"Caribou","ID",6973,7037,7155,7012,7110,7190,7286,7286
"Carlisle","KY",4788,4739,4760,4806,4760,4720,4735,4735
"Carlton","MN",35509,35822,35871,36193,36455,36708,36842,36842
"Caroline","MD",33096,33306,33406,33273,33413,33433,33518,33518
"Caroline","VA",30432,30751,30725,30924,31402,31957,32076,32076
"Carroll","AR",27865,28097,28380,28242,28480,28742,28951,28951
"Carroll","GA",117390,117997,119992,119484,121592,124592,125921,125921
"Carroll","IA",20274,20153,20165,20721,20752,20567,20609,20609
"Carroll","IL",14475,14314,14305,15667,15674,15529,15490,15490
"Carroll","IN",20067,20188,20257,20331,20502,20555,20643,20643
"Carroll","KY",10714,10712,10631,10836,10884,10938,10972,10972
"Carroll","MD",167547,168267,168447,172923,174208,175305,175749,175749
"Carroll","MO",8779,8726,8679,8468,8403,8423,8448,8448
"Carroll","MS",10094,9920,9947,9930,9817,9731,9730,9730
"Carroll","NH",48132,48754,48910,50235,51725,52199,52455,52455
"Carroll","OH",27324,27082,26914,26697,26671,26659,26727,26727
"Carroll","TN",27807,27975,27767,28421,28287,28458,28762,28762
"Carroll","VA",29812,29741,29791,29142,29071,29147,29255,29255
"Carson","TX",6005,6007,5926,5791,5708,5784,5876,5876
"Carson City","NV",54532,55202,55916,58683,58796,58130,58431,58431
"Carter","KY",27214,27040,26797,26607,26432,26395,26476,26476
"Carter","MO",6179,6083,5982,5202,5339,5268,5284,5284
"Carter","MT",1223,1230,1252,1408,1410,1382,1395,1395
"Carter","OK",48273,48213,48111,48036,48324,48510,48921,48921
"Carter","TN",56510,56417,56391,56362,56060,56410,57012,57012
