branch_code,month,defaultlo,sumfines,pre_plaz,nmembers,credentry,cred_use,female,married,divorced,age,educ0,educ2,newgroup,newclnt,int_mont
44,524,.5,234.785,8.181818,1.4545455,15386,1,.54545456,.81818181,0,40.136364,0,.27272728,0,.18181819,47401.78571428572
44,525,.53571427,153.09679,9.25,2,15386,1,.85714287,.5714286,.071428575,37.67857,0,.17857143,0,.10714286,36339.28571428572
44,526,0,165.28,16,2,15386,1,.5,.5,0,40,0,.5,0,0,2321.428571428572
44,527,.4375,265.99374,12.6875,3.125,15386,1,.4375,.75,.0625,36.875,.0625,.0625,.125,.1875,20357.14285714286
44,528,1,97.714996,10.333333,2.3333333,15386,1,1,.66666669,0,28.333334,0,0,.40000001,.5,2071.428571428572
44,529,.5,1899.025,9.5,1,15386,1,.5,1,0,34,0,.5,0,1,2857.142857142857
44,530,.66666669,81.779999,16,1.6666666,15386,1,.66666669,1,0,44.666668,0,0,1,1,2678.571428571429
44,539,1,89.550003,4,1,15386,1,1,0,0,35,0,0,0,0,178.5714285714286
43,480,.24031007,22.266899,5.5736432,6.131783,15386,0,.75968993,.8217054,.007751938,41.21875,.30232558,.046511628,0,0,69513.37506975447
43,481,0,241.776,10,3.4000001,15386,0,.80000001,.60000002,0,40.599998,.40000001,.2,0,0,4464.285714285715
43,482,.10714286,114.67179,9.9285717,3.4285715,15386,0,.60714287,.8214286,.035714287,42.785713,.42857143,.10714286,0,0,23500
43,483,.24390244,119.18439,8.0731707,3.0975609,15386,0,.34146342,.85365856,0,39.299999,.24390244,.19512194,0,0,45567.85714285714
43,484,.41666666,217.54417,8.104167,4.0833335,15386,0,.33333334,.79166669,0,41.978722,.4375,.041666668,0,0,46660.71428571429
43,485,.44999999,162.0585,8.3000002,2.2,15386,0,.44999999,.80000001,0,39.950001,.2,.2,0,0,15535.71428571429
43,486,.30000001,97.851997,7.54,3.1199999,15386,0,.31999999,.77999997,0,39.080002,.16,.14,0,0,48750
43,487,.052631579,49.358421,10.736842,3.3157895,15386,0,.63157892,.7368421,0,40.315788,.36842105,.052631579,0,0,13732.14285714286
43,488,.40000001,72.138329,5.6666665,4.0666666,15386,0,.46666667,.86666667,.033333335,41.033333,.46666667,.1,0,0,24785.71428571429
43,489,.375,344.14459,6.375,2.8333333,15386,0,.25,.79166669,0,37.833332,.16666667,.16666667,0,0,22375
43,490,.31578946,78.404739,6.9473686,4.2631578,15386,0,.21052632,.7368421,0,39.555557,.42105263,0,0,0,15660.71428571429
43,491,.13953489,137.09581,8.7441864,4.1162791,15386,0,.62790698,.74418604,0,40.906979,.44186047,.093023255,0,0,50107.14285714286
43,492,.28947368,67.411057,7.8947368,3.0526316,15386,0,.31578946,.86842108,0,38.236843,.15789473,.23684211,0,0,40767.85714285714
